
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount

6. What crops can be grown to feed both livestock and generate grain income?
• Maize: Grain for income; stover/silage for cattle.
• Sorghum: Dual-purpose — grain and fodder.
• Cowpea/mung bean: Grain sold; straw for cattle.
• Barley: Grain for sale; straw for bedding/fodder.
• Chickpea/lentil: Grain and vines both usable.

7. How do I control internal parasites in sheep grazing on crop residues?
• Strategic deworming: Before and after wet season (peak transmission).
• Anthelmintics: Albendazole, ivermectin, fenbendazole — rotate to prevent resistance.
• FAMACHA: Eye color scoring to identify anemic animals needing treatment.
• Rotational grazing: Break parasite lifecycle.
• Avoid overgrazing on wet pastures.
• Consult a veterinarian for a tailored deworming program.

8. Is it beneficial to integrate beekeeping with my orchard?
• Yes — highly beneficial.
• Bees improve fruit set by 20–50% in most tree fruits.
• Apple, almond, mango, citrus all benefit greatly from bee pollination.
• Place 2–4 hives per acre during bloom.
• Avoid pesticide spraying during flowering.
• Honey and beeswax provide additional income.
• Low capital, good return investment for orchardists.

9. How do I prevent livestock from wandering into canal-irrigated fields?
• Barbed wire fencing along field and canal boundaries.
• Live hedges (eucalyptus, siris, keekar): Double as windbreaks.
• Electric fencing: Low cost, highly effective.
• Watercourse patrol: Community-appointed guards during irrigation turns.
• Village-level agreements on grazing areas.

10. What are government schemes for livestock combined with farming?
• Pakistan: Punjab Livestock Card, KPK Livestock Development Project; distributed animals and subsidized vaccines.
• India: PM Matsya Sampada Yojana, NABARD Dairy schemes, Animal Husbandry Infrastructure Development Fund.
• Global: FAO's Integrated Crop-Livestock System programs.
• Contact: District Livestock & Dairy Development Office for current schemes.
• BISP beneficiaries in Pakistan: Access to free animals through Nashonuma and livestock programs.

EMERGENCY CONTACTS & HELPLINES FOR FARMERS

Pakistan
• Pakistan Agriculture Research Council (PARC): 051-9255003 | parc.gov.pk
• Zarai Taraqiati Bank (ZTBL): 0800-09090 (toll-free) | ztbl.com.pk
• Locust Control Center Pakistan: 051-9206453
• Plant Protection Department: 051-9204117 | plantprotection.gov.pk
• Pakistan Meteorological Department: pmd.gov.pk | 051-9250364
• National Agriculture Emergency Helpline: Contact provincial agriculture departments
• Punjab Agriculture Department: 042-99214200 | agripunjab.gov.pk
• KPK Agriculture Department: 091-9210426 | kpagri.gov.pk
• Sindh Agriculture Department: 021-99214000
• Rescue (Medical Emergency): 1122
• Pesticide Poisoning / Hospital Emergency: 1122 or nearest hospital

India
• Kisan Call Center (Toll-Free, 24/7): 1800-180-1551
• ICAR (Indian Council of Agricultural Research): 011-25843375 | icar.org.in
• NABARD (Farm Credit): 022-26530065 | nabard.org
• PM-KISAN Helpline: 155261 / 011-24300606
• IMD (Weather): imd.gov.in | 1800-180-1717
• Plant Quarantine / Pest Alerts: NPPO India: 011-25097658
• India Emergency: 112

USA
• USDA Agricultural Extensions: Contact your State's Land-Grant University Extension
• USDA Farm Service Agency (FSA): 1-800-559-0961 | fsa.usda.gov
• USDA Rural Development: 1-800-670-6553
• USDA NRCS (Soil Conservation): nrcs.usda.gov
• EPA Pesticide Safety: 1-800-858-7378 (NPIC) | npic.orst.edu
• National Poison Control Center: 1-800-222-1222
• FAO Regional Office: www.fao.org

United Kingdom
• AHDB (Agriculture and Horticulture Development Board): 02476 692051 | ahdb.org.uk
• DEFRA: 03459 335577 | gov.uk/government/organisations/department-for-environment-food-rural-affairs
• HSE Pesticide Enquiries: 0300 003 1671
• NIAB (Plant Science): 01223 342200 | niab.com
• UK Emergency: 999

Global / International
• FAO (Food and Agriculture Organization): +39 06 5705 1 | fao.org
• FAO Desert Locust Information: www.fao.org/ag/locusts
• CABI Pest & Disease Alerts: cabi.org/plantwise
• CGIAR (Crop Research): cgiar.org
• IFAD (Rural Poverty / Smallholder Finance): +39 06 54591 | ifad.org
• World Bank Agriculture: worldbank.org/en/topic/agriculture
• IWMI (Water Management): iwmi.cgiar.org
• CropLife International (Pest Management): croplife.org


DISCLAIMER: This guide provides general agricultural guidance. For precise recommendations, always consult your local certified agriculture extension officer, agronomist, or research institution. Pesticide registrations, subsidy schemes, and support prices change annually — verify with official sources.
--- Source: prediction-of-crop-yields-or-to-identify-areas-of-risk-for-crop-in-pakistan.csv ---
                  -       Acres     Acres.1       Acres.2 Acres.3 Acres.4 Acres.5              Acres.6      Acres.7       Acres.8            Acres.9 Acres.10  Acres.11 Acres.12    Acres.13       Acres.14 Acres.15 Acres.16 Acres.17     Acres.18          Acres.19 Acres.20 Acres.21 Citrus ( ACRE) Unnamed: 24 Unnamed: 25 Unnamed: 26 Unnamed: 27 Unnamed: 28 Unnamed: 29   Unnamed: 30 Unnamed: 31   Unnamed: 32 Rabi Fruits (ACRE) Unnamed: 34 Unnamed: 35        Unnamed: 36 Fodder (ACRE) Unnamed: 38 Unnamed: 39
0                 -       Wheat  Gram TOTAL  Barley TOTAL  Potato   Onion  Canola  Rapeseed & mustard   Masoor crop  Matter(Peas)  Other Rabi Pulses   Garlic  Tabacco   Linseed  Corriander  Matter(green)   Carrot   Tomato   Turnip  Cauliflower  Other Vegitables    Guava   BANANA     Grapefruit       Kinnu       Lemon    Mandrine      Orange     Musumbi   Sour Lime   sour Orange  sweet Lime  other Citrus                Ber      Loquat     Mulbery  Other Rabi fruit        Barseem      Lucern      Others
1            PUNJAB  16,210,000   2,204,120         18978  445978  114631   44487               355800        19041         21886                375     8310     48827     1218        1420          53406    20910    20447    22408        17772             74401    69086      164           1060      364925       10461        2790       17445       17977        1464           446        5236          8731               2466        1825         248               2498       1825200      196000      306000
2    RAWALPINDI DV:   1,083,000      25,400          2076    8915    1951     593                68000        13026           324                  -      644       495        9          70            812      245      228      324         1060              1565      104        3             15         407          34           3        1021         124           -             2          21           545                 50         377          23                 57          5300         800       11100
3            Attock     374,000       3,450           989    2070     990      78                 8900          258            29                NaN      450       490        5          12            365       90       40       60          840              1260       55        -             15         193          16         NaN         955         107         NaN           NaN          11           436                NaN          65         NaN                 20           100           0        1400
4        Rawalpindi     257,000       1,810           537     730     470     270                 8500         6763            14                NaN       80       NaN      NaN         NaN            114       57       61       56          140                 9        5        -            NaN          23           2           -           5           2           -             -           1            52                 10         201          10                  2             0           0        1000
5         Islamabad      26,000           -           114       -       -       -                  500          223             4                  -        7         -        -           -              -        3        1        3            6                 2        2        -              -          25           9           -          13           -           -             2           9            38                  -          10           -                  1             0           0         800
6            Jhelum     139,000         400           182    5050     121     105                 9500         2220           223                  -       69         5        4          21            238       58       41      143           34               244       12        3              -         119           1           -          30           4           -             -           -             -                 33           1           5                  4          4300         600        2800
7           Chakwal     287,000       19740           254    1065     370     140                40600         3562            54                  -       38         -       37          37             95       37       85       62           40                50       30        -              -          47           6           3          18          11           -             -           -            19                  7         100           8                 30           900         200        5100
8     SARGODHA DIV:   1,495,000     1652070         3,610    7233    9050    7340                52600          666           100                  -      382      3079       32          26           1086      708     4319     2075         1928               768     6411        -             90      206973         550         811        2766        7406           -           215         671          4527                164         115          52                 20        173200       47900       61200
9          Sargodha     478,000        1010           954    1600     980    1500                12200          187            50                  -      155       700        -           8            685      181      294     1600         1085                 0     4882        -             90      201500         171         742         390        3580           -           215         443          2430                139         100          32                  -        111100       28900       50600
10          Khushab     230,000      597230           673    5550     920     400                 6000           24            30                  -       70        45        -           -            200      165     3500       85          430               150      485        -              -        1413          25          60           -         206           -             -           -           224                 25          15          20                 20         23400        2700        4200
11         Mianwali     386,000       37810           443      83    2150    2240                15300          350            20                  -      112      2300        5          18             73      200      450      180          250               170      234        -              -        1550         147          10         857         825           -             -          30           333                  -           -           -                  -         14400        1300        1800
12          Bhakkar     401,000     1016020         1,540       -    5000    3200                19100          105             -                  -       45        34      604           -            128      162       75      210          163               448      810        5              -        2510         207           -        1519        2795           -             -         198          1540                  -           -           -                  -         24300       15000        4600
13  FAISALABAD DIV:   2,034,000      181240           689   43669    8648   11925                56400         1120          7281                 23     1125      6180      254         387          11890     2050      871     4550         2421              8522     9971        5            504       44914         864         116        1818        1133          11            82        1404           169                256           -           6               1344        401500       12300       16400
14       Faisalabad     664,000         270           160    3575    1970    4219                26800           24            99                 12      525      1425      298         233            385      785      400     1735          985              6736     4850        -            106        6990         350          25         460         795           6            31         374            58                118           -           -                630        142300        3800        2500
15       T.T. Singh     664,000         670            22   13031    2936    4110                19100          200          1289                  -      307      3230       14          44           1450      650      225      450          925              1157     3018        -            398       30650         178          33         138         140           -            47         150            12                115           -           -                  5         61000         700        3700
16            Jhang     403,000      179790           304    3168    1805    2837                 6500          434          1093                  6      170       850       38          80            655      290      160     1000          285               460     1305        -              -        2915         125          30         370         138           5             4         710            10                 10           -           6                600        138000        4800        7100
17          Chiniot     684,000         541           203   23895    1937     759                 4000          462          4800                  5      123       675      178          30           9400      325       86     1365          226               169      798        -              -        4359         211          28         850          60           -             -         170            89                 13           -           -                109         60200        3000        3100
18  GUJRANWALA DIV:   2,548,000        1190         1,298   18112    3747     380                 6700         2685          2328                 20     2717      3361       30         195          10119     1722     1641     9118         3093             18421     6189        -             13       23446         755          25         274         438          22             1         362           616                 13           -           -                 40        261000       18900       40700
19           Gujrat     377,000          70            66    1453     120       2                 4400          260           110                  8      115       794       68           8            582      201       56     2748          180               560      653        -              -         139          41           -           -          31           -             -          10             -                118           1           -                  -         31800         400        2200
20         M.B. Din     370,000         450           362    1166     145     103                 1400          382            96                  -      245       520        5          24            613      206      110     3042          201              2450      922        -             13       22900         360           -         195         387          22             -         345           616                 38           -           -                  -         50600       15900       11300
21          Sialkot     502,000          20            25   11703     328      19                  100          108           303                  -      942       616       75          49           1397      298      194     1228          570               455     1105        -              -         128         131           -          40           6           -             -           7             -                 35           -           -                  -         41000         400        9200
22          Narowal     362,000          70            21    1830     360     156                  200         1718           110                 12      660       170        -          55            460      110       50      410          350               750      730        -              -         100          20           -          25          10           -             -           -             -                 36           1           -                 40         29100           0        1400
23       Gujranwala     542,000         140           398    1865    2603      76                  200           50          1455                  -      590       905        -          50           6070      570     1148     1525         1435             12395     2286        -              -          23          97           -           -           4           -             1           -             -                  5           -           -                  -         65600         400       10400
24        Hafizabad     395,000         440           426      95     191      24                  400          167           254                  -      165       356        -           9            997      337       83      165          357              1811      493        -              -         156         106          25          14           -           -             -           -             -                  4           -           -                  -         42900        1800        6200
25      LAHORE DIV:   1,360,000         480           780   63411    7405    2125                10300          103           983                 35      752      2612        -         165          15305     7920     4990     1180         1515             16450    26124       43              6        3659        2187         230         342         225         182             1         319           700                  -           -           -                355        266000        5100       64500
26      Sheikhupura     524,000         110           194    7650    3355     120                  700           40           730                  -      280      2200        -          47          10250     3135     4010      510          315              3750    10050       35              -         665         574         180          73           -           -            17          14            40                208        1325          47                 22        101400        1200       16200
27    Nankana Sahib     298,000         130           101     520    1200     401                 3500            -             -                  -      150       300        -          22            780     1800      680      130          320               900     7610        -              -         700         858           -          50           -           -             -           -             -                  5           -           -                  -         38700        2200        5300
28           Lahore     136,000           -           340    6065     150       -                    0            -            13                  -       32        44        -          35           2045      805      120      190          260              2000     2955        8              6         294         155          50         160          75          32            16          45           210                  -           -           -                183         49800         200       13600
29            Kasur     402,000         240           145   49176    2700    1604                 6100           63           240                 35      290        68        -          61           2230     2180      180      350          620              9800     5509        -              -        2000         600           -          60         150         150            58         260           450                  6          65          24                150         76100        1500       29400
30     SAHIWAL DIV:   1,183,000        1810           400  268415   10100    2370                24400           55          6770                  -      965      5650      100         152           9110     1752     1180     1887         1885              7180     7795        5            362       18796         707         305        2115         931          40             -         962           538                197        1260          23                208        246000        6000       21200
31            Okara     499,000         760           115  143315    5580    1050                12800            -          1100                  -      220       980        -          52           3110     1070      250     1335          800              4850     2174        -              7        5390         129         100        1160         450          40             -         220            50                 25           7          20                200         95800        1900        7300
32          Sahiwal     354,000         590           125   62700    3020     800                 9100           44          4860                  -      390      4100      100          80           4100      400      630      420          500               520     3591        5            345       12226         108          80         485         325           -             -         612           418                 20           -          20                  8         84800        3600        8100
33        Pakpattan     330,000         460           160   62400    1510     520                 2500           11           810                  -      355       570        -          20           1900      282      300      132          585              1810     2030        -             10        1180         470         125         470         156           -             -         130            70                  5           7           -                  -         65400         500        5800
34      MULTAN DIV:   2,062,000         880         1,034   32712   39120   11001                27700           15          2100                 39     1145      2787       16         211           3265     2695     1800     1885         2830             10580     8331       37             31       35386        1224         869        6767        4603        1150            42         564           386                561           -           -                103        209200       17800       31000
35           Multan     471,000           -           289    4548    5820    2000                 5300            -           397                 30      250       130        8         116           1050      590      270      300          750              2370     1127       20              -        7000         495         861        3000        2400         470            40         112            45                420           -          52                 18         58900        5100        9700
36          Lodhran     505,000         580           238    1000    7700    1151                 2200            2             2                  2      115        42        -           3            110      290      250      180          280              1660       83        -              -        1086         325           -          15         575           -             2          30            35                 98           -           -                 70         26000        6300        5400
37         Khanewal     481,000         100           434   18500   17500    2350                 8100            1          1600                  7      580       550        -          60           1800     1185     1000     1225          605              5050     3100       15             19       14800          54           -        1285        1595           -             -           -            23                 43           -           -                  -         61500        4900        9200
38           Vehari     605,000         200            73    8664    8100    5500                12100           12           101                  -      200      2065        8          32            305      630      280      180         1195              1500     4021        2             12       12500         350           8        2467          33         680             -         422           283                  -           -          52                 15         62800        1500        6700
39   D.G. KHAN DIV:   2,146,000      321460         8,344    1973   13250    5526                41100         1056          1912                150      275     23360       61         172           1309      707     2928      488         1088              7021      376       61              -        9499         240         330        1196        2024           -            13         132          1119                 37           -           -                371        126100       46400       17600
40     Muzaffargarh     711,000        6120         4,984      34    1700    3425                12400          212           780                104       64       388        -         152            825      457     2720      101          424              2212       58       61              -        1705          77         245         372           -           -             -           -            71                 37           -           -                244         49900       16800        6900
41           Layyah     547,000      304120         3,261    1179     850     901                 7100          571           108                 46      165        47       61           -            115       95       62      190          195               391      260        -              -        7050          37          60         810        1880           -            13           -           935                  -           -           -                  -          9800       25500        4700
42        D.G. Khan     446,000        9790            73     700    2200     400                 7400          190           145                  -        -      2500        -           -             69       60      110       87          294              4200       58        -              -         422          50          25           -          88           -             -          92            40                  -           -           -                 82         38800         500        3100
43        Rajan Pur     442,000        1430            26      60    8500     800                14200           83           879                  -       48     20425        -          20            300       95       36      110          175               218        -        -              -         322          76           -          14          56           -             -          40            73                  -           -           -                 45         27600        3600        2900
44  BAHAWALPUR DIV:   2,299,000       19590           747    1538   21350    3227                68600          315            88                108      305      1303      213          42            510     3111     2490      901         1952              3894     3785       10             39       21845        3900         101        1145        1093          59             -         801           131               1047           -          48                  -        136900       40800       42300
45       Bahawalpur     707,000        3570           198     840    8200    1517                21300           31             -                 20      160       245       60          12             40      245      810      104          203              2285      245        -             22       12275        1690         101          52         840           -             -         612           131                866           -          27                  -         37700        6000       12600
46   Rahim Yar Khan     680,000         110            71      18    7600     413                13500           64            48                 70      100        66        3          10            320      850     1000      632         1171              1201      545       10             17        3510         540           -         119         213          59             -         169             -                151           -          15                  -         60300       10600        6900
47     Bahawalnagar     912,000       15910           478     680    5550    1297                33800          220            40                 18       45       992      150          20            150     2016      680      165          578               408     2995        -              -        6060        1680           -         975          40           -             -          20             -                 30           -           6                  -         38900       24200       22800
--- Source: Pakistan_Farmers_Problems_Solutions.pdf ---
Pakistan Farmers'
Problems & Solutions
Question & Answer Guide
Province-wise | Crop-wise | Practical Advice
Strictly Pakistan-Specific | Based on AARI, PARC, ZTBL, FAO Pakistan Research
25 Q&A Pairs 4 Provinces 8 Categories 10+ Crops/Sectors
Disclaimer: This guide is compiled from Pakistani agricultural research institutions (AARI, PARC, NARC, provincial agriculture
departments) and FAO Pakistan resources. Always consult your local Agriculture Extension Officer for field-specific advice.
Table of Contents
1. Water Management Punjab, Sindh, Balochistan, KPK
2. Crop Production Wheat, Rice, Cotton, Maize, Potato, Fruits
3. Pest & Disease Management Cotton, Rice, Vegetables, Poultry
4. Finance & Credit ZTBL, Kissan Card, Microfinance
5. Soil Management Salinity, Fertility, Soil Testing
6. Livestock Cattle, Poultry
7. Market Access Middlemen, Cooperatives, Digital Platforms
8. Climate Change & Disaster Floods, Droughts, Insurance
9. Extension & Education Helplines, Training, Apps
10. Policy & Registration Kisan Card, Subsidies, Government Schemes
Punjab
Q1 Wheat | Crop Production Punjab
Q: Why is my wheat yield lower than expected despite using fertilizer?
Low yields in Punjab wheat farms are often caused by:
1. Wrong timing of fertilizer application — urea should be split into 2-3 doses, not all at once.
2. Poor seed quality — always use certified seed from AARI (Ayub Agricultural Research Institute,
Faisalabad).
3. Waterlogging from over-irrigation — reduce irrigation frequency.
4. Soil pH problems — get a soil test from the nearest Soil Fertility Research Institute (SFRI) lab before
applying fertilizers.
Source: AARI Faisalabad / Punjab Agriculture Dept
Q2 Wheat | Crop Production Punjab
Q: What is the best time to sow wheat in Punjab?
The ideal sowing window for wheat in Punjab is November 1–20. Late sowing after November 25 causes
yield loss of up to 1.5 maunds per acre per day of delay. Recommended varieties for central Punjab:
Faisalabad-2008, Galaxy-2013, Punjab-2011. For rice-wheat zones, use short-duration varieties like
NARC-2011.
Source: AARI Faisalabad
Q3 Cotton | Pest & Disease Management Punjab
Q: My cotton crop has leaf curl disease. What should I do?
Cotton Leaf Curl Virus (CLCuV) is a serious threat in Punjab. Steps to follow:
1. Remove and destroy infected plants immediately to prevent spread.
2. Control whitefly (the virus carrier) using Imidacloprid or Thiamethoxam insecticides.
3. Switch to tolerant varieties like FH-142 or CIM-600 certified by Cotton Research Institute Multan.
4. Avoid excess nitrogen fertilizer which attracts more whitefly.
Source: CRI Multan / Punjab Seed Council
Q4 Cotton | Pest & Disease Management Punjab
Q: How can I manage pink bollworm in cotton?
Pink bollworm causes 30-40% yield loss if unmanaged. Recommendations:
1. Use pheromone traps to monitor pest levels — available from Punjab Agriculture Dept offices.
2. Apply Chlorpyrifos or Emamectin Benzoate when infestation crosses economic threshold.
3. After harvest, deep plow the field to destroy overwintering pupae.
4. Do not delay harvest — timely picking significantly reduces bollworm damage.
Source: IPM Programme Punjab
Q13 Vegetables | Pest & Disease Management Punjab
Q: How can I protect my tomato crop from early blight?
Early blight (Alternaria solani) management:
1. Use disease-free certified seedlings from registered nurseries.
2. Apply Mancozeb or Copper Oxychloride fungicide at first sign of disease, repeat every 10-14 days.
3. Crop rotation — do not grow tomatoes in the same field for 2-3 consecutive years.
4. Remove and burn infected plant debris after harvest.
5. Avoid overhead irrigation — use furrow or drip irrigation to keep foliage dry.
Source: AVRDC / Punjab Horticulture Authority
Q14 General | Market Access Punjab
Q: Middlemen are taking most of my profit. How can I sell directly at better prices?
Strategies to bypass middlemen in Punjab:
1. Register with Punjab Agriculture Marketing Company (PAMCO) for direct market access.
2. Use Kissan Mandi — government direct farmer-to-buyer market linkage platform.
3. Form a Farmer Cooperative with neighbors to sell collectively to processors or exporters.
4. Use mobile apps 'Agri24' or 'Farmart Pakistan' for real-time market price information before selling.
5. Contact Agri-value chain companies like Engro Foods or Nestle Pakistan — they purchase directly from
certified farmers.
Source: PAMCO / Punjab Food Authority
Q18 General | Water Management Punjab
Q: There is no rain this season and my tube well has low water. What to do?
Drought management for Punjab farmers:
1. Switch to drought-tolerant crops: chickpea, millet (bajra), sorghum instead of water-intensive rice.
2. Use furrow or ridge irrigation instead of flood irrigation — saves 30% water.
3. Apply mulching (dry grass/straw) to reduce soil evaporation.
4. Register for Crop Insurance Scheme under Ministry of National Food Security — covers drought losses.
5. Contact ZTBL for emergency drought crop loans with relaxed collateral requirements.
Source: PCRWR / Ministry of National Food Security
Q23 Poultry | Livestock Punjab
Q: My chickens are dying suddenly in large numbers. What disease could it be?
Common causes of sudden poultry deaths in Pakistan:
1. Newcastle Disease (Ranikhet) — most common; vaccinate at 1 day, 10 days, and 28 days of age.
2. Avian Influenza (Bird Flu) — report IMMEDIATELY to nearest Livestock Dept. This is a notifiable
disease with government compensation.
3. Infectious Bursal Disease (Gumboro) — vaccinate at 14-18 days of age.
4. Aflatoxin from stored grain in feed — have feed tested for quality.
5. Visit nearest Government Veterinary Hospital — consultation and basic vaccines are provided FREE.
Source: Livestock & Dairy Development Dept Punjab
Sindh
Q5 Rice | Crop Production Sindh
Q: What fertilizer schedule should I follow for rice in Sindh?
For rice in Sindh (IRRI-6 or IRRI-9 varieties):
- DAP: 1 bag per acre at transplanting time.
- Urea in 3 splits: 1 bag at transplanting + 1 bag at tillering (25-30 days) + 1 bag at panicle initiation (55-60
days).
- Avoid excess urea — causes lodging (plants falling over).
- Zinc Sulphate (5 kg/acre): Apply if leaves show interveinal yellowing — zinc deficiency is very common in
Sindh soils.
Source: Rice Research Institute Dokri, Sindh
Q6 Rice | Pest & Disease Management Sindh
Q: My rice fields are affected by brown plant hopper. What is the solution?
Brown Plant Hopper (BPH) is critical in Sindh paddy fields. Management steps:
1. Do NOT use broad-spectrum pesticides early — they kill natural BPH enemies.
2. Use Buprofezin or Pymetrozine which specifically target BPH.
3. Drain the field for 3-4 days if infestation is heavy.
4. Grow resistant varieties: Sarshar-1 or IR-64.
5. Reduce nitrogen application — excess N increases BPH population rapidly.
Source: Rice Research Institute Dokri, Sindh
Q15 Sugarcane | Crop Production Sindh
Q: When should I apply weedicide in sugarcane and which type?
Weed management in Sindh sugarcane:
1. Pre-emergence: Apply Atrazine (1.5 kg per acre) within 2-3 days of planting while soil has moisture.
2. Post-emergence: Apply 2,4-D Amine (1 litre per acre) at 30-45 days after sprouting for broadleaf weeds.
3. Manual hoeing at 45-60 days is also effective for large fields.
4. Do not apply weedicide during hot, dry, windy weather — it will damage the crop.
Contact Sugarcane Research Institute, Thatta for local variety-specific guidance.
Source: Sugarcane Research Institute Thatta, Sindh
KPK
Q8 Maize | Crop Production KPK
Q: What is the right variety of maize for KPK conditions?
Recommended maize varieties for KPK:
- Agaiti-2002: Early maturing (85-90 days), suitable for rain-fed areas of KPK.
- Pahari Maize: Traditional variety suited to hilly and mountainous terrain.
- Azam Hybrid: Higher yield potential but needs adequate irrigation.
Sowing time: April–May for Kharif season. Contact Agriculture Research Institute Tarnab, Peshawar for
certified seed availability.
Source: ARI Tarnab, Peshawar / KPK Agriculture Dept
Q9 General | Climate Change & Disaster KPK
Q: Flash floods destroyed my crops. Where can I get help?
After flood crop damage in KPK, take these steps:
1. Report immediately to your local Union Council and Agriculture Extension Officer (Patwari).
2. Register with NDMA on helpline 1700 (toll-free) for national disaster assistance.
3. Apply for PDMA KPK relief through your district office.
4. FAO Pakistan provides crop recovery inputs (seeds, tools) — contact FAO Peshawar office.
5. ZTBL provides rescheduling of existing loans and fresh calamity loans for flood-affected farmers.
Source: NDMA / PDMA KPK / FAO Pakistan
Q10 Potato | Crop Production KPK
Q: Why are my potato tubers small and what can I do?
Small tubers are caused by several factors:
1. Late planting — plant February–March in plains; April–May in KPK highlands.
2. Poor seed quality — use certified seed from NARC Islamabad or Kaghan Development Authority.
3. Low potassium — apply SOP (Sulphate of Potash) 1 bag per acre.
4. Early harvesting — wait until tops naturally yellow before digging.
5. Compacted soil — do deep tillage (12-15 inches) before planting.
Source: NARC Islamabad / KPK Agriculture Dept
Q21 General | Pest & Disease Management KPK
Q: Pesticides are very expensive. Are there cheaper alternatives?
Low-cost pest management alternatives:
1. Neem-based spray — soak neem leaves in water overnight, filter and spray; effective against aphids
and whitefly.
2. Sticky yellow traps — coat yellow plastic sheets with motor oil; catches whitefly and aphids.
3. Trichogramma cards (biological control) — egg parasitoid cards available free from some KPK
Agriculture Dept programs.
4. Intercropping — growing maize with beans naturally reduces pest pressure.
5. Attend free IPM (Integrated Pest Management) training at Agriculture Training Institute (ATI), Peshawar.
Source: ATI Peshawar / FAO Pakistan IPM Programme
Balochistan
Q11 Fruits (Apple/Apricot) | Water Management Balochistan
Q: Water is very scarce in my area. How can I irrigate my orchard?
Water-saving options for Balochistan orchards:
1. Drip irrigation — reduces water use by 40-60%. Subsidized under Balochistan government schemes.
Contact BARD (Balochistan Agriculture Research & Development), Quetta.
2. Karez (Qanat) system revival — traditional underground channels being rehabilitated in many villages.
3. Rainwater harvesting ponds — traditional Sail and Khushkaba farming practices.
4. Solar-powered tube wells — AEDB (Alternative Energy Development Board) provides subsidies in
Balochistan.
Source: BARD Quetta / AEDB Pakistan
Q12 General | Extension & Education Balochistan
Q: I cannot read or write. How can I access agriculture information?
Non-literate farmers can access help through:
1. Kisan Helpline: Dial 0800-15000 (toll-free) for voice-based agriculture advice in Urdu, Pashto, and
Balochi.
2. Agriculture Extension Officer at your tehsil office — visit in person for free advice.
3. Farmer Field Schools (FFS) organized by FAO Pakistan — hands-on field demonstrations, no reading
required.
4. PTV Agriculture programs and Radio Pakistan Quetta broadcasts — daily morning farm bulletins.
Source: FAO Pakistan / Agriculture Extension Dept Balochistan
Q24 Fruits | Crop Production Balochistan
Q: My apple trees in Balochistan are not bearing fruit. What is the problem?
Apple non-bearing causes in Balochistan:
1. Pollination failure — plant at least 2 compatible varieties (e.g., Red Delicious + Golden Delicious) within
30 feet.
2. Late frost damage — use smoke pots or cover young trees with cloth during frost nights.
3. Insufficient chilling hours — some warmer areas of Balochistan need low-chill apple varieties.
4. Boron deficiency — apply Borax (200g per tree) in early spring to improve fruit set.
5. Incorrect pruning — get training from Fruit Research Station, Quetta, which also provides free grafted
saplings.
Source: Fruit Research Station Quetta / BARI Balochistan
All Provinces
Q7 General | Finance & Credit All Provinces
Q: How can I get low-cost agricultural loans in Pakistan?
Options available to farmers across Pakistan:
1. Zarai Taraqiati Bank Limited (ZTBL): Production loans from Rs. 25,000–500,000 at subsidized rates.
Apply at nearest ZTBL branch with land documents (Fard/Jamabandi) and CNIC.
2. Kissan Card: Subsidized input purchase from registered dealers — available in Punjab, piloting in
Sindh.
3. National Bank of Pakistan (NBP) Agriculture Finance: For medium to large farmers.
4. Akhuwat Foundation: Interest-free loans up to Rs. 50,000 for small farmers.
5. NRSP (National Rural Support Programme): Micro-loans and group lending in rural areas.
Source: ZTBL / State Bank of Pakistan / Akhuwat
Q16 General | Soil Management All Provinces
Q: How can I test my soil before the farming season?
Soil testing procedure across Pakistan:
1. Collect soil samples from 8-10 spots in your field, 6 inches deep. Mix together and take 500g sample.
2. Submit to nearest Soil Lab: Punjab (SFRI Lahore), Sindh (SSRI Tandojam), KPK (Soil Testing Lab
Peshawar), Balochistan (STLA Quetta).
3. Cost: approximately Rs. 200-500 per test depending on province.
4. Results show NPK levels, pH, and micronutrients.
5. The extension officer will give a fertilizer recommendation based on your specific results.
Source: SFRI / Provincial Agriculture Depts
Q17 Livestock | Livestock All Provinces
Q: My cattle are not producing enough milk. What could be the reason?
Low milk production causes in Pakistan:
1. Nutritional deficiency — feed balanced ration: green fodder (berseem/lucerne) + dry fodder +
concentrate cake.
2. Mastitis disease — check for hot, swollen udder; treat with antibiotics under veterinary guidance.
3. Irregular milking — milk at fixed times twice daily for consistent production.
4. Heat stress — provide shade and cold drinking water, especially in June-August.
5. Mineral deficiency — add mineral supplement blocks (available from Government Livestock Dept at
subsidized cost).
Source: Livestock & Dairy Development Board (LDDB)
Q19 General | Soil Management Sindh/Balochistan
Q: Soil in my field is salty and crops do not grow well. What should I do?
Soil salinity management:
1. Install sub-surface drainage — contact WAPDA's SCARP (Salinity Control and Reclamation Program).
2. Apply gypsum (calcium sulphate): 4-8 bags per acre depending on severity — available from fertilizer
dealers.
3. Grow salt-tolerant crops: kallar grass, sesbania for reclamation; SARC-1 and NIAB Saline-1 wheat
varieties for production.
4. Flood leaching — apply heavy irrigation to push salts below the root zone, then drain.
5. Contact NIAB (Nuclear Institute for Agriculture and Biology) Faisalabad for free soil reclamation advice.
Source: WAPDA SCARP / NIAB Faisalabad
Q20 General | Post-Harvest All Provinces
